
  J.A.R.V.I.S. Server v0.1.0
  WebSocket: wss://0.0.0.0:8340/ws/voice
  REST API:  https://0.0.0.0:8340/api/
  Tasks:     https://0.0.0.0:8340/api/tasks

INFO:     127.0.0.1:59645 - "GET /api/system/stats HTTP/1.1" 200 OK
INFO:     127.0.0.1:55694 - "GET /api/system/stats HTTP/1.1" 200 OK
INFO:     127.0.0.1:55696 - "GET /api/agents/status HTTP/1.1" 200 OK
INFO:     127.0.0.1:63138 - "GET /api/system/stats HTTP/1.1" 200 OK
INFO:     127.0.0.1:65103 - "GET /api/system/stats HTTP/1.1" 200 OK
INFO:     127.0.0.1:49256 - "GET /api/system/stats HTTP/1.1" 200 OK
INFO:     127.0.0.1:59171 - "GET /api/system/stats HTTP/1.1" 200 OK
INFO:     127.0.0.1:49673 - "GET /api/system/stats HTTP/1.1" 200 OK
INFO:     127.0.0.1:49675 - "GET /api/agents/status HTTP/1.1" 200 OK
INFO:     127.0.0.1:64349 - "GET /api/system/stats HTTP/1.1" 200 OK
INFO:     127.0.0.1:61127 - "GET /api/system/stats HTTP/1.1" 200 OK
INFO:     127.0.0.1:49674 - "GET /api/system/stats HTTP/1.1" 200 OK
INFO:     127.0.0.1:54116 - "GET /api/system/stats HTTP/1.1" 200 OK
INFO:     127.0.0.1:58893 - "GET /api/system/stats HTTP/1.1" 200 OK
INFO:     127.0.0.1:58894 - "GET /api/agents/status HTTP/1.1" 200 OK
INFO:     127.0.0.1:62310 - "GET /api/system/stats HTTP/1.1" 200 OK
INFO:     127.0.0.1:64444 - "GET /api/system/stats HTTP/1.1" 200 OK
INFO:     127.0.0.1:57837 - "GET /api/system/stats HTTP/1.1" 200 OK
INFO:     127.0.0.1:51042 - "GET /api/system/stats HTTP/1.1" 200 OK
INFO:     127.0.0.1:57601 - "GET /api/system/stats HTTP/1.1" 200 OK
INFO:     127.0.0.1:57603 - "GET /api/agents/status HTTP/1.1" 200 OK
INFO:     127.0.0.1:63694 - "GET /api/system/stats HTTP/1.1" 200 OK
INFO:     127.0.0.1:57818 - "GET /api/system/stats HTTP/1.1" 200 OK
INFO:     127.0.0.1:61352 - "GET /api/system/stats HTTP/1.1" 200 OK
INFO:     127.0.0.1:59738 - "GET /api/system/stats HTTP/1.1" 200 OK
INFO:     127.0.0.1:54407 - "GET /api/system/stats HTTP/1.1" 200 OK
INFO:     127.0.0.1:54409 - "GET /api/agents/status HTTP/1.1" 200 OK
INFO:     127.0.0.1:51474 - "GET /api/system/stats HTTP/1.1" 200 OK
INFO:     127.0.0.1:49676 - "GET /api/system/stats HTTP/1.1" 200 OK
INFO:     127.0.0.1:55299 - "GET /api/system/stats HTTP/1.1" 200 OK
INFO:     127.0.0.1:60197 - "GET /api/system/stats HTTP/1.1" 200 OK
INFO:     127.0.0.1:50568 - "GET /api/system/stats HTTP/1.1" 200 OK
INFO:     127.0.0.1:50570 - "GET /api/agents/status HTTP/1.1" 200 OK
INFO:     127.0.0.1:53796 - "GET /api/system/stats HTTP/1.1" 200 OK
INFO:     127.0.0.1:51897 - "GET /api/system/stats HTTP/1.1" 200 OK
INFO:     127.0.0.1:52253 - "GET /api/system/stats HTTP/1.1" 200 OK
INFO:     127.0.0.1:52738 - "GET /api/system/stats HTTP/1.1" 200 OK
INFO:     127.0.0.1:51395 - "GET /api/system/stats HTTP/1.1" 200 OK
INFO:     127.0.0.1:51397 - "GET /api/agents/status HTTP/1.1" 200 OK
INFO:     127.0.0.1:58379 - "GET /api/system/stats HTTP/1.1" 200 OK
INFO:     127.0.0.1:60927 - "GET /api/system/stats HTTP/1.1" 200 OK
INFO:     127.0.0.1:53324 - "GET /api/system/stats HTTP/1.1" 200 OK
INFO:     127.0.0.1:62797 - "GET /api/system/stats HTTP/1.1" 200 OK
INFO:     127.0.0.1:55417 - "GET /api/system/stats HTTP/1.1" 200 OK
INFO:     127.0.0.1:55419 - "GET /api/agents/status HTTP/1.1" 200 OK
INFO:     127.0.0.1:57545 - "GET /api/system/stats HTTP/1.1" 200 OK
INFO:     127.0.0.1:63449 - "GET /api/system/stats HTTP/1.1" 200 OK
INFO:     127.0.0.1:55348 - "GET /api/system/stats HTTP/1.1" 200 OK
INFO:     127.0.0.1:64670 - "GET /api/system/stats HTTP/1.1" 200 OK
INFO:     127.0.0.1:50324 - "GET /api/system/stats HTTP/1.1" 200 OK
INFO:     127.0.0.1:50326 - "GET /api/agents/status HTTP/1.1" 200 OK
INFO:     127.0.0.1:57017 - "GET /api/system/stats HTTP/1.1" 200 OK
INFO:     127.0.0.1:57371 - "GET /api/system/stats HTTP/1.1" 200 OK
INFO:     127.0.0.1:59131 - "GET /api/system/stats HTTP/1.1" 200 OK
INFO:     127.0.0.1:54200 - "GET /api/system/stats HTTP/1.1" 200 OK
INFO:     127.0.0.1:63662 - "GET /api/system/stats HTTP/1.1" 200 OK
INFO:     127.0.0.1:63663 - "GET /api/agents/status HTTP/1.1" 200 OK
INFO:     127.0.0.1:50065 - "GET /api/system/stats HTTP/1.1" 200 OK
INFO:     127.0.0.1:57560 - "GET /api/system/stats HTTP/1.1" 200 OK
INFO:     127.0.0.1:65500 - "GET /api/system/stats HTTP/1.1" 200 OK
INFO:     127.0.0.1:52014 - "GET /api/system/stats HTTP/1.1" 200 OK
INFO:     127.0.0.1:53967 - "GET /api/system/stats HTTP/1.1" 200 OK
INFO:     127.0.0.1:52393 - "GET /api/agents/status HTTP/1.1" 200 OK
INFO:     127.0.0.1:56932 - "GET /api/system/stats HTTP/1.1" 200 OK
INFO:     127.0.0.1:56169 - "GET /api/system/stats HTTP/1.1" 200 OK
INFO:     127.0.0.1:63287 - "GET /api/system/stats HTTP/1.1" 200 OK
INFO:     127.0.0.1:61878 - "GET /api/system/stats HTTP/1.1" 200 OK
INFO:     127.0.0.1:56109 - "GET /api/system/stats HTTP/1.1" 200 OK
INFO:     127.0.0.1:56111 - "GET /api/agents/status HTTP/1.1" 200 OK
INFO:     127.0.0.1:59593 - "GET /api/system/stats HTTP/1.1" 200 OK
INFO:     127.0.0.1:50561 - "GET /api/system/stats HTTP/1.1" 200 OK
INFO:     127.0.0.1:59336 - "GET /api/system/stats HTTP/1.1" 200 OK
INFO:     127.0.0.1:51030 - "GET /api/system/stats HTTP/1.1" 200 OK
INFO:     127.0.0.1:57326 - "GET /api/system/stats HTTP/1.1" 200 OK
INFO:     127.0.0.1:57327 - "GET /api/agents/status HTTP/1.1" 200 OK
INFO:     127.0.0.1:61869 - "GET /api/system/stats HTTP/1.1" 200 OK
INFO:     127.0.0.1:50882 - "GET /api/system/stats HTTP/1.1" 200 OK
INFO:     127.0.0.1:57130 - "GET /api/system/stats HTTP/1.1" 200 OK
INFO:     127.0.0.1:64354 - "GET /api/system/stats HTTP/1.1" 200 OK
INFO:     127.0.0.1:50872 - "GET /api/system/stats HTTP/1.1" 200 OK
INFO:     127.0.0.1:50874 - "GET /api/agents/status HTTP/1.1" 200 OK
INFO:     127.0.0.1:52560 - "GET /api/system/stats HTTP/1.1" 200 OK
INFO:     127.0.0.1:54235 - "GET /api/system/stats HTTP/1.1" 200 OK
INFO:     127.0.0.1:54201 - "GET /api/system/stats HTTP/1.1" 200 OK
INFO:     127.0.0.1:56536 - "GET /api/system/stats HTTP/1.1" 200 OK
INFO:     127.0.0.1:49383 - "GET /api/system/stats HTTP/1.1" 200 OK
INFO:     127.0.0.1:49386 - "GET /api/agents/status HTTP/1.1" 200 OK
INFO:     127.0.0.1:50862 - "GET /api/system/stats HTTP/1.1" 200 OK
INFO:     127.0.0.1:54184 - "GET /api/system/stats HTTP/1.1" 200 OK
INFO:     127.0.0.1:56244 - "GET /api/system/stats HTTP/1.1" 200 OK
INFO:     127.0.0.1:62867 - "GET /api/system/stats HTTP/1.1" 200 OK
INFO:     127.0.0.1:51284 - "GET /api/system/stats HTTP/1.1" 200 OK
INFO:     127.0.0.1:51286 - "GET /api/agents/status HTTP/1.1" 200 OK
INFO:     127.0.0.1:55086 - "GET /api/system/stats HTTP/1.1" 200 OK
INFO:     127.0.0.1:56879 - "GET /api/system/stats HTTP/1.1" 200 OK
INFO:     127.0.0.1:65428 - "GET /api/system/stats HTTP/1.1" 200 OK
INFO:     127.0.0.1:49677 - "GET /api/system/stats HTTP/1.1" 200 OK
INFO:     127.0.0.1:50547 - "GET /api/system/stats HTTP/1.1" 200 OK
INFO:     127.0.0.1:50549 - "GET /api/agents/status HTTP/1.1" 200 OK
INFO:     127.0.0.1:49678 - "GET /api/system/stats HTTP/1.1" 200 OK
INFO:     127.0.0.1:62514 - "GET /api/system/stats HTTP/1.1" 200 OK
